id,rated,created_at,last_move_at,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply,game_duration,rating_difference,total_rating,processed_date
45JKnaVt,true,1.397475887463E12,1.397476681284E12,59,resign,white,10+10,fedorstar,1763,vladimir-kramnik-1,1698,c4 e5 b3 Nf6 Bb2 Nc6 g3 d5 cxd5 Qxd5 Nf3 Bg4 Bg2 Bxf3 Bxf3 Qd6 O-O Be7 Nc3 O-O Rac1 Nd4 Bg2 c6 Ne4 Nxe4 Bxe4 f5 Bg2 e4 e3 Nf3+ Kh1 Qxd2 Bxf3 Qxb2 Be2 Qxa2 Bc4+ Kh8 Qd7 Bf6 Qxb7 c5 Rcd1 Rab8 Qc6 Rfc8 Qe6 Rb6 Qxf5 Re8 Qd7 Rbb8 Rd2 Red8 Qxd8+ Rxd8 Rxa2,A20,English Opening: King's English Variation,2,793821,65,3461,2025-01-31
gjjlb3Wr,true,1.39746690403E12,1.397469033364E12,86,resign,white,17+17,vladimir-kramnik-1,1693,join7,1477,e4 e5 Nf3 d6 d4 f6 dxe5 fxe5 Nc3 c6 Ng5 h5 Qf3 Nf6 Be2 Be7 O-O Nbd7 Ne6 Qa5 Nxg7+ Kf7 Nf5 Nc5 Bc4+ Be6 Bxe6+ Kxe6 Bg5 Raf8 Bxf6 Bxf6 a3 b5 b4 Qb6 bxc5 Qxc5 Qe3 a6 Qxc5 dxc5 a4 c4 axb5 axb5 Rfd1 Rfd8 Rxd8 Rxd8 g3 Rd2 Ra6 Kf7 Rxc6 Rxc2 Nxb5 Kg6 Ne3 Rc1+ Kg2 Kg5 Rxc4 Rb1 h4+ Kg6 Nd6 Rd1 Ndf5 Rd7 Kh3 Kf7 g4 hxg4+ Kxg4 Rd2 Rc2 Rd7 h5 Kg8 h6 Kh7 Nd5 Kg6 Nxf6 Rd4,C41,Philidor Defense,5,2129334,216,3170,2025-01-31
QzdedoG5,true,1.397460965899E12,1.397461885673E12,85,resign,white,8+5,toka,1664,vladimir-kramnik-1,1706,e4 e6 d4 d5 e5 c5 c3 Nc6 Be3 Qb6 Qd2 cxd4 cxd4 Bb4 Nc3 Nge7 Nf3 Nf5 Be2 O-O O-O Bxc3 bxc3 Nxe3 Qxe3 Qb2 Rfb1 Qa3 Rb3 Qe7 Bd3 f6 exf6 Qxf6 Rbb1 Rfe8 Rbe1 Ne7 Ng5 Ng6 Nf3 Nf4 Ne5 Nxd3 Qxd3 b6 Re3 Bb7 Rh3 h6 Rf3 Qd8 Qg6 Qc7 Ng4 Ref8 Qxe6+ Rf7 Rxf7 Qxf7 Qxf7+ Kxf7 Ne5+ Kf6 Re1 Rc8 Nd7+ Kf7 Rc1 Ke6 Ne5 a5 h3 b5 a3 b4 axb4 axb4 c4 dxc4 Nxc4 Kd5 Nb6+ Kd6 Nxc8+,C02,French Defense: Advance Variation,8,919774,42,3370,2025-01-31
Zj6afVMU,true,1.397457519988E12,1.397458406229E12,70,mate,black,10+5,chp-3,1500,vladimir-kramnik-1,1701,e4 e6 e5 d6 Qe2 dxe5 Qxe5 Nc6 Qb5 a6 Qb3 Nd4 Qd3 Nf6 c3 Nc6 Qxd8+ Nxd8 Na3 Nc6 Nc4 e5 Nf3 Bd6 Nxd6+ cxd6 Ng5 O-O Bc4 d5 Bb3 h6 Nf3 e4 Nd4 Nxd4 cxd4 Be6 O-O Rac8 f3 b5 d3 exd3 f4 Ne4 f5 Bd7 Bf4 Bxf5 Bxd5 Rfd8 Bb7 Rc2 Bxa6 Rxb2 Bc7 Rd5 Rfb1 Rxb1+ Rxb1 Rxd4 Rxb5 d2 Rb8+ Kh7 Be2 d1=Q+ Bxd1 Rxd1#,C00,French Defense: Steinitz Attack,3,886241,201,3201,2025-01-31
kq9JANOG,true,1.397385402357E12,1.397385658209E12,38,mate,black,8+10,viktor1962,1704,vladimir-kramnik-1,1689,d4 d5 c4 c6 e3 e6 c5 b6 b4 Nf6 Nc3 bxc5 bxc5 Qa5 Bd2 Qc7 f4 Be7 Nf3 O-O Ne5 Ne4 Bd3 Nxd2 Qxd2 Bf6 O-O Bxe5 fxe5 Nd7 a4 f6 exf6 Nxf6 a5 Ng4 h3 Qh2#,D10,Slav Defense,4,255852,15,3393,2025-01-31
jmgEVnjI,true,1.397383957113E12,1.397384300943E12,46,resign,black,15+15,billooji,1680,vladimir-kramnik-1,1677,d4 d5 a3 c6 Nf3 Bg4 e3 e6 Be2 Nf6 Ne5 Bxe2 Qxe2 Bd6 Nf3 Nbd7 O-O Nb6 b3 O-O a4 Ne4 Bb2 Rfe8 a5 Nd7 Qd3 Ndf6 c4 b6 axb6 axb6 Rxa8 Qxa8 cxd5 cxd5 Nbd2 Nxd2 Qxd2 Ne4 Qd3 Qa2 Ra1 Qxb2 Rb1 Qxf2+,D00,Queen's Pawn Game,2,343830,3,3357,2025-01-31
TQmPPbZY,true,1.397291792573E12,1.39729258612E12,51,resign,white,10+5,m0davis,1757,vladimir-kramnik-1,1687,b3 e5 Bb2 Nc6 g3 d5 Bg2 Nf6 e3 Bd6 Ne2 Qe7 d3 Be6 Nd2 Ba3 Qc1 Bxb2 Qxb2 O-O O-O-O Rad8 Nf3 Bg4 h3 Bxf3 Bxf3 e4 Bg2 Rfe8 Nc3 d4 exd4 Nxd4 Nxe4 Nxe4 Bxe4 Qg5+ Kb1 Qf6 f4 Qe7 Qc3 Ne2 Qe1 Nd4 Qf2 c6 Rhe1 f5 Bd5+,A01,Nimzo-Larsen Attack: Modern Variation #3,4,793547,70,3444,2025-01-31
TUD9thFU,true,1.397284218202E12,1.39728490603E12,74,resign,black,5+8,omid123,1666,vladimir-kramnik-1,1675,d4 d5 Nc3 c6 a3 Nf6 f3 e6 Bg5 Be7 Qd2 h6 Bh4 b6 O-O-O Bb7 Bxf6 Bxf6 e4 c5 e5 Bg5 Nge2 Bxd2+ Rxd2 cxd4 Nxd4 Nc6 Bb5 Qc7 f4 O-O Bxc6 Bxc6 Ncb5 Bxb5 Nxb5 Qc5 Nd6 Rab8 c3 Qe3 g3 b5 b4 Qxc3+ Kd1 Qxa3 Ke2 Qxb4 Rc1 a5 Rcc2 a4 Rcb2 Qa5 Rd4 b4 Kd3 a3 Rb1 a2 Ra1 Qa6+ Kc2 Qe2+ Kc1 Qe3+ Rd2 Qc3+ Kd1 Qxa1+ Ke2 Qb1,D00,Queen's Pawn Game: Chigorin Variation,3,687828,9,3341,2025-01-31
vU2xAawx,true,1.397218310871E12,1.397219479533E12,113,resign,white,7+5,vladimir-kramnik-1,1663,manouch339,1667,e4 e5 Nf3 Nc6 Bc4 h6 Nc3 Nf6 d3 Bc5 O-O d6 h3 Bd7 Nd5 Qc8 Nxf6+ gxf6 Kh2 h5 Nd2 f5 Qf3 f4 g3 Nd4 Qg2 Rhg8 c3 f3 Nxf3 Ne2 Rfe1 Nf4 Bxf4 exf4 Nd4 fxg3+ fxg3 a6 Qf3 Be6 Nxe6 fxe6 Qxh5+ Ke7 Qh7+ Ke8 Qxg8+ Kd7 Qxc8+ Rxc8 d4 Bb6 Rad1 Rf8 Rd2 c5 d5 e5 h4 Bd8 Kh3 b5 Be2 c4 b3 Bb6 bxc4 bxc4 Bxc4 a5 Bb3 Rf3 c4 Bf2 Rxf2 Rxf2 a4 Rb2 Re3 Rf2 g4 Rf4 Kg3 Ke7 Bc2 Kf6 Rf3 Rxf3+ Kxf3 Ke7 g5 Kf7 Kg4 Kg6 h5+ Kg7 Kf5 Kf7 g6+ Kg8 Kf6 Kh8 h6 Kg8 h7+ Kh8 g7+ Kxh7 Kf7 Kh6 g8=Q,C55,Italian Game: Anti-Fried Liver Defense,6,1168662,4,3330,2025-01-31
K1R0h6S7,true,1.397141947097E12,1.397142685142E12,13,outoftime,white,10+5,vladimir-kramnik-1,1651,cakmakfevzi2012,1641,e4 c5 d4 cxd4 c3 dxc3 Nxc3 e5 Nf3 d6 Bc4 h6 O-O,B21,Sicilian Defense: Smith-Morra Gambit,5,738045,10,3292,2025-01-31
p1VK0VtA,true,1.397141373926E12,1.397141943857E12,46,mate,black,10+5,cakmakfevzi2012,1654,vladimir-kramnik-1,1638,e4 e6 e5 d6 exd6 cxd6 c4 Nf6 d4 d5 Nc3 Bb4 a3 Bxc3+ bxc3 Nc6 Bg5 h6 Bh4 g5 Bg3 Ne4 Bd3 Nxc3 Qc2 Ne4 Bxe4 dxe4 Qxe4 Qa5+ Kf1 Qc3 Rae1 Qxc4+ Ne2 f5 Qf3 Nxd4 Qh5+ Ke7 Be5 Nxe2 Rxe2 Rhd8 Ke1 Qc1#,C00,French Defense: Steinitz Attack,3,569931,16,3292,2025-01-31
4ogE3IlW,true,1.397140956015E12,1.397141219769E12,29,resign,black,10+5,santozmitro,1680,vladimir-kramnik-1,1623,e4 e6 d4 d5 exd5 exd5 Nf3 c5 Bd3 Nf6 Bg5 Be7 Bxf6 Bxf6 dxc5 Bxb2 O-O Bxa1 Re1+ Be6 c3 O-O Nd4 Qa5 Qh5 g6 Qe5 Bxc3 Nxe6,C01,French Defense: Exchange Variation,5,263754,57,3303,2025-01-31
iOFAKFSf,true,1.397062047698E12,1.397062573672E12,59,resign,white,15+9,vladimir-kramnik-1,1610,rroig,1617,e4 e6 d4 d5 e5 c5 c3 cxd4 cxd4 a6 Nf3 Ne7 Nc3 Ng6 Be2 Be7 O-O O-O Bd3 f6 Bxg6 hxg6 Bf4 g5 Bg3 Nd7 h4 fxe5 hxg5 exd4 Qxd4 Bxg5 Nxg5 Qxg5 Rfe1 Nf6 Re5 Qg6 Bh4 Ng4 Rg5 Qf6 Rxg4 Qxd4 Rxd4 Bd7 Ne2 Bc6 Ng3 e5 Rd2 e4 Re1 Rf4 Be7 Kf7 Bd6 Rd8 Bxf4,C02,French Defense: Advance Variation #2,7,525974,7,3227,2025-01-31
vwXtmN4q,true,1.397060228534E12,1.397061828274E12,79,resign,white,10+15,yventus2014,1754,vladimir-kramnik-1,1618,e4 e6 d4 d5 e5 c5 Bb5+ Bd7 Bxd7+ Qxd7 Nf3 Nc6 O-O b6 Nc3 Nge7 Nb5 Nxe5 Nxe5 Qxb5 dxc5 bxc5 b3 Nf5 a4 Qb7 g4 Qc7 Bf4 Nd6 Qe2 Be7 Bg3 O-O Qa6 Rfb8 a5 Qb7 Qc6 Ne4 Ra4 Bf6 Qxb7 Rxb7 Nd3 Rc8 f4 h6 f5 exf5 Rxf5 Nxg3 hxg3 Rd7 Nf4 Re8 Nxd5 Re1+ Kf2 Red1 Nxf6+ gxf6 Rxc5 Rd1d2+ Kf3 Kg7 b4 Re7 b5 Rde2 Rcc4 Kg6 b6 axb6 axb6 Kg5 Ra3 Re2e3+ Rxe3,C02,French Defense: Advance Variation #4,6,1599740,136,3372,2025-01-31
CyfHdIci,true,1.397058940576E12,1.397061691927E12,78,mate,black,10+15,eldari,1713,vladimir-kramnik-1,1602,e4 e6 Bc4 d5 exd5 exd5 Bb3 c5 a3 Nc6 d3 Nf6 Bg5 Be7 Nf3 O-O O-O Bg4 Nbd2 Nd4 Bxf6 Bxf6 c3 Nxb3 Qxb3 b6 Rae1 Qd6 d4 c4 Qc2 a5 Ne5 Be6 Ndf3 b5 Qe2 b4 axb4 axb4 Qd2 bxc3 bxc3 Ra3 Ng5 Bxg5 Qxg5 f6 Qc1 fxe5 Rxe5 Raa8 f4 Rae8 Rfe1 Bd7 Qe3 Rxe5 fxe5 Qe6 h3 Rf5 Ra1 h6 Qg3 Rg5 Qf3 Qxh3 Ra8+ Kh7 Qf2 Qxc3 Qf7 Qe1+ Kh2 Qg3+ Kh1 Qxg2#,C00,French Defense #2,2,2751351,111,3315,2025-01-31
tYvi7FNG,true,1.397058463148E12,1.39705885083E12,36,mate,black,15+10,riverok,1795,vladimir-kramnik-1,1581,e4 e6 Nf3 d5 exd5 exd5 d4 c5 dxc5 Bxc5 Qe2+ Ne7 Be3 Bb6 Bxb6 Qxb6 b3 Nbc6 Nc3 O-O O-O-O Qa5 Qd3 Bf5 Qd2 d4 Nxd4 Nxd4 Qxd4 Rad8 Qe3 Rxd1+ Nxd1 Qxa2 Nc3 Qxc2#,C00,French Defense: Knight Variation,3,387682,214,3376,2025-01-31
Kclpqrwl,true,1.396778184927E12,1.396778541819E12,39,resign,black,10+5,epphi,1658,vladimir-kramnik-1,1565,e4 e6 d4 d5 exd5 exd5 Nf3 c5 dxc5 Bxc5 c4 Nf6 Bg5 Bg4 Bxf6 Qxf6 Qxd5 Bxf3 Qxf3 Qxb2 Qe2+ Qxe2+ Bxe2 O-O O-O Nc6 Rfe1 Rfe8 Nc3 Bb4 Rac1 Nd4 Kf1 Nxe2 Rxe2 Rxe2 Kxe2 Rc8 Nd5,C01,French Defense: Exchange Variation,5,356892,93,3223,2025-01-31
90tZY629,true,1.396768308083E12,1.396770055866E12,79,resign,white,15+10,penkovm,1721,vladimir-kramnik-1,1573,d4 d5 c4 e6 Nc3 c5 cxd5 exd5 Nf3 cxd4 Nxd4 Bb4 Bd2 Bxc3 Bxc3 Nf6 e3 O-O Bd3 Nc6 Bc2 Bg4 Nf3 Rfe8 O-O Ne4 Bd4 Nxd4 Qxd4 Bxf3 gxf3 Nf6 Rfd1 Rac8 Bb3 Rc7 Rac1 Rd7 Qxa7 Nh5 Qd4 Re5 f4 Rf5 Bc2 Rf6 Bd3 Qb8 Rc5 Rfd6 Bf5 Rd7d8 a3 Nf6 Qe5 Re8 Qc3 g6 Bb1 Qd8 Rc7 Ng4 h3 Nh6 Rxb7 Qh4 Kg2 g5 fxg5 Qxg5+ Kh2 f5 Rg1 Ng4+ Rxg4 fxg4 Bxh7+ Kf8 Qh8+,D32,Tarrasch Defense: Two Knights Variation,9,1747783,148,3294,2025-01-31
7pRm0JTW,true,1.396766759523E12,1.396768218489E12,73,resign,white,15+15,vladimir-kramnik-1,1557,boris90157311,1614,e4 e5 f4 exf4 Nf3 g5 Bc4 Bg7 O-O c6 d4 Qb6 Nxg5 Bxd4+ Kh1 Bxb2 Qh5 Kd8 Nxf7+ Kc7 Bxf4+ d6 Bxd6+ Kd7 Qf5+ Ke8 Qe5+ Bxe5 Nxe5 Ne7 Nd2 Qd4 Bf7+ Kd8 Ndc4 Nd7 Rad1 Qc3 Bh5 b5 Nf7+ Ke8 Nxh8+ Kd8 Rf8+ Nxf8 Bb4+ Bd7 Bxc3 bxc4 Bf6 Nfg6 Nxg6 hxg6 Bxg6 Rb8 Bf5 Rb7 Bxd7 Rxd7 Rxd7+ Kxd7 Bxe7 Kxe7 g4 Kf6 Kg2 Ke5 Kf3 a5 h4 c3 h5,C38,King's Gambit Accepted |  Hanstein Gambit,9,1458966,57,3171,2025-01-31
gMlM25Jr,true,1.396765787578E12,1.396766295578E12,34,resign,black,15+10,vladimir-kramnik-1,1423,pramath91,1500,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nf6 Nxc6 bxc6 Nc3 Bb4 Bd2 O-O e5 Rfe8 Qe2 d6 O-O-O Rxe5 Qf3 Bg4 Qxc6 Rc5 Qa4 Bxc3 Bxc3 Bxd1 Kxd1 Rd5+ Kc1 Qe8 Bc4 Qxa4,C45,Scotch Game: Schmidt Variation,8,508000,77,2923,2025-01-31
bQ9duviD,true,1.396764139412E12,1.39676538729E12,66,resign,black,10+10,vladimir-kramnik-1,1566,mahdi20014,1694,e4 e5 Nf3 Nc6 Bc4 h6 c3 a6 d4 exd4 cxd4 b5 Bd5 Bb7 Nc3 Bb4 Bd2 Bxc3 Bxc3 Nf6 Qb3 O-O e5 Nxd5 Qxd5 Na5 Qc5 Nc4 O-O-O d6 exd6 cxd6 Qf5 d5 Nd2 Bc8 Qf3 a5 Nxc4 bxc4 Bd2 Qh4 Qf4 Qg4 Qxg4 Bxg4 f3 Bf5 g4 Bd3 h4 Rfb8 Bc3 Rb5 f4 Be4 Rhg1 a4 g5 h5 Rgf1 Bf5 Rde1 g6 Re2 Bd3,C55,Italian Game: Anti-Fried Liver Defense,6,1247878,128,3260,2025-01-31
l9zWUOip,false,1.396676858755E12,1.396677022585E12,22,mate,black,25+0,vladimir-kramnik-1,1432,xlarevo,1493,e4 e5 Nf3 Nc6 Bb5 a6 Bxc6 dxc6 d4 exd4 Qxd4 Bg4 Qe5+ Qe7 Qxe7+ Bxe7 Nd4 O-O-O Be3 c5 Nb3 Rd1#,C68,Ruy Lopez: Exchange Variation,7,163830,61,2925,2025-01-31
